candidate_id,candidate_ddd_mobile,candidate_pcd,candidate_certifications,candidate_academic_level,candidate_english_level,candidate_spanish_level
10246,11,,0,,,
10247,11,,0,,,
10248,11,,0,,,
10249,11,,0,,,
1025,99,,0,,,
10250,11,,0,,,
10251,11,,0,,,
10252,11,,0,,,
10253,11,,0,,,
10254,11,,0,,,
10255,11,,0,,,
10256,11,,0,,,
10257,11,,0,,,
10258,11,,0,,,
10259,11,,0,,,
1026,11,,0,,,
10260,11,,0,Pós Graduação Completo,Básico,Nenhum
10261,21,,0,,,
10262,11,,0,,,
10263,11,,0,,,
10264,11,,0,,,
10265,19,,0,,,
10266,12,,0,,,
10267,11,,0,,,
10268,11,,0,,,
10269,11,,0,,,
1027,11,,0,,,
10270,31,,0,,,
10271,11,,0,,,
10272,11,,0,,,
10273,11,,0,,,
10274,11,,0,,,
10275,60,,0,,,
10276,11,,0,,,
10277,11,,0,,,
10278,11,,0,,,
10279,11,,0,,,
1028,11,,0,,,
10280,11,,0,,,
10281,11,,0,,,
10282,11,,0,,,
10283,51,,0,,,
10284,11,,0,,,
10285,11,,0,,,
10286,11,,0,,,
10287,11,,0,,,
10288,11,,0,,,
10289,11,,0,,,
1029,61,,0,,,
10290,11,,0,,,
10291,11,,0,,,
10292,11,,0,,,
10293,11,,0,,,
10294,11,,0,,,
10295,11,,0,,,
10296,01,,0,,,
10297,11,,0,,,
10298,11,,0,,,
10299,11,,0,,,
103,19,,0,Ensino Superior Completo,,
1030,44,,0,,,
10300,11,,0,,,
10301,11,,0,,,
10302,11,,0,,,
10303,11,,0,,,
10304,11,,0,,,
10305,13,,0,,,
10306,02,,0,,,
10307,11,,0,,,
10308,19,,0,,,
10309,19,,0,,,
1031,14,,0,,,
10310,19,,0,,,
10311,19,,0,,,
10312,11,,0,,,
10313,11,,0,,,
10314,11,,0,Ensino Técnico Completo,,
10315,11,,0,,,
10316,98,,0,,,
10317,11,,0,,,
10318,19,,0,,,
10319,21,,0,,,
1032,11,,0,,,
10320,11,,0,,,
10321,11,,0,,,
10322,11,,0,,,
10323,11,,0,,,
10324,11,,0,,,
10325,11,,0,,,
10326,11,,0,,,
10327,11,,0,,,
10328,11,,0,,,
10329,11,,0,,,
1033,83,,0,,,
10330,21,,0,,,
10331,11,,0,,,
10332,19,,0,,,
10333,11,,0,,,
10334,19,,0,,,
10335,01,,0,,,
10336,11,,0,,,
10337,84,,0,,,
10338,88,,0,,,
10339,95,,0,,,
1034,11,,0,,,
10340,95,,0,,,
10341,95,,0,,,
10342,11,,0,,,
10343,11,,0,,,
10344,11,,0,,,
10345,19,,0,,,
10346,12,,0,,,
10347,11,,0,,,
10348,11,,0,,,
10349,,,0,,,
1035,11,,0,,,
10350,,,0,,,
10351,,,0,,,
10352,11,,0,,,
10353,,,0,,,
10354,11,,0,,,
10355,11,,0,,,
10356,11,,0,,,
10357,11,,0,,,
10358,11,,0,,,
10359,,,0,,,
1036,11,,0,,,
10360,19,,0,,,
10361,11,,0,,,
10362,11,,0,,,
10363,11,,0,,,
10364,11,,0,,,
10365,11,,0,,,
10366,11,,0,,,
10367,43,,0,,,
10368,11,,0,,,
10369,11,,0,,,
1037,11,,0,,,
10370,91,,0,,,
10371,11,,0,,,
10372,11,,0,,,
10373,11,,0,,,
10374,34,,0,,,
10375,11,,0,,,
10376,11,,0,,,
10377,11,,0,,,
10378,21,,0,,,
10379,21,,0,,,
1038,11,,0,,,
10380,11,,0,,,
10381,11,,0,,,
10382,11,,0,,,
10383,11,,0,,,
10384,11,,0,,,
10385,11,,0,,,
10386,33,,0,,,
10387,11,,0,,,
10388,11,,0,,,
10389,11,,0,,,
1039,11,,0,,,
10390,11,,0,,,
10391,11,,0,,,
